"","fish_density","year"
"1",2.4800174803902,1948
"2",2.61424976694207,1949
"3",2.66607171650968,1950
"4",3.77581604742525,1951
"5",10.2723097961813,1952
"6",1.75337088673177,1953
"7",4.07546448703025,1954
"8",3.84088378067585,1955
"9",3.28649154780636,1956
"10",7.08331507675805,1957
"11",7.38491450567882,1958
"12",1.59778246493186,1959
"13",3.37840451772289,1960
"14",43.7255173828948,1961
"15",9.17276672024009,1962
"16",13.0517286893776,1963
"17",16.1941131257338,1964
"18",9.36357493596873,1965
"19",5.63670765707559,1966
"20",5.69905059052883,1967
"21",8.76858675761204,1968
"22",1.56622850257387,1969
"23",2.69646472396764,1970
"24",8.09159620919072,1971
"25",5.71493048923119,1972
"26",9.43749342137147,1973
"27",13.7000927499484,1974
"28",4.48480120721645,1975
"29",1.3961327218158,1976
"30",2.35412434719054,1977
